name,length,starring,year,notes,recorded_bought,inserted,updated
Beauty & the Briefcase,,,,,0,5/13/2010 22:30,5/16/2010 19:23
because I said so,,,,,0,5/13/2010 22:30,5/16/2010 19:23
because they are young,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Becket,,"R.Burton,P.O'Toole",,England,0,5/13/2010 22:30,12/30/2010 20:41
becoming jane,,,,,0,5/13/2010 22:30,5/16/2010 19:23
bedknobs and broomsticks,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bedtime Stories,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Bee movie, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
beer fest,,,,,0,5/13/2010 22:30,5/16/2010 19:23
beethoven I,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Before You Say I Do,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Believe in Me,,,,,0,5/13/2010 22:30,5/16/2010 19:23
Bells Are Ringing,2:07,"Judy Holliday, Dean Martin",1960,,0,5/13/2010 22:30,5/31/2012 19:43
Beneath the 12-Mile Reef,,,,,0,5/13/2010 22:30,5/16/2010 19:23
"best in show, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
"Best Little Whorehouse in Taxas, The",,Dolly Parton,,,0,5/13/2010 22:30,1/7/2011 0:58
"Best of Time, The",,"Kurt Russell, Robin  MS.",,"Taft,Calif.",0,5/13/2010 22:30,5/5/2011 23:07
"Best Years of Our Lives,The",,,,Oscars,0,5/13/2010 22:30,1/8/2011 12:17
"Bicycle Thief, The",1:29,Luigi Bartolini,1948,Italy,0,5/13/2010 22:30,5/5/2011 21:49
Big,,Tom Hanks,,,0,5/13/2010 22:30,1/7/2011 0:57
"big chill, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
Big Jim McLean,,John Wayne,,,0,5/13/2010 22:30,12/30/2010 17:38
"big shot, the",,,,,0,5/13/2010 22:30,5/16/2010 19:23
big top pee-wee,,PeeWee Herman,1988,Kristofferson,0,5/13/2010 22:30,1/20/2011 23:36
BigTrouble in Little Chinatown,1:38,"Kurt Russell, Kim Catrell",1986,S.F.Chinatown,0,5/13/2010 22:30,5/31/2012 19:45
Bill and Ted's Bogus Journey,,,,,0,5/13/2010 22:30,1/2/2011 22:22
Bill and Ted's Excellent Adventure,,,,,0,5/13/2010 22:30,1/2/2011 22:22
"Billy Two Hats Stranger, The",,,,,0,5/13/2010 22:30,5/16/2010 19:23
